_id,STT,Ten nha may nuoc,Vi tri,Nam xay dung,"Dien tich 
(m2)","Cong suat 
(m3/ngay dem)",Vung phuc vu,So ho cung cap nuoc sach,Trinh trang hoat dong
1,1, Dũng Tiến II,"Thôn Đan Điền xã Dũng Tiến, huyện Vĩnh Bảo",2010,7660,4000,"- 100% xã Giang Biên, 
- 100% Dũng Tiến,
- Thôn 3,4,5,6,7,8 xã Trung Lập,
- Thôn 4,5,6,7,8,9,10 xã Việt Tiến",5629,Đang hoạt động
2,2, Vĩnh Long II,"Thôn Lô Đông, Xã Vĩnh Long, huyện Vĩnh Bảo",2015,3800,5000,"- 100% xã Vĩnh Long; 
- 100% xã Hiệp Hòa; 
- 100% xã Hùng Tiến; 
- 06/9 thôn xã An Hòa (An Lãng, Kênh Hữu, Tạ Ngoại 1, Tạ Ngoại 2, Nội Tạ; 
- 04/10 thôn xã Thắng Thủy (Hà Phương 1,2,3,4)",6685,Đang hoạt động
3,3, Liên Am,"Thôn Hậu Đông, xã Liên Am, huyện Vĩnh Bảo",2008,"3633,8",3000,"- 100% Hòa Bình;
- 65% Lý Học; 
- 60% Liên Am;
- 11% xã Trấn Dương; 
- 10% xã Tam Cường.",4455,Đang hoạt động
4,4, Cao Minh,"Thôn Vạn Hoạch, xã Cao Minh, huyện Vĩnh Bảo",2010,3000,3000,"- 100% Cao Minh; 
- 35% Lý Học (2 thôn); 
- 40% Liên Am (3 thôn); 
- 80% Vĩnh Tiến (4/5 thôn); 
- 90% xã Tam Cường (10/11 thôn); 
- 100% xã Cổ Am.",7428,Đang hoạt động
5,5, Tiền Phong 2,"Thôn Linh Đông 3, xã Tiền Phong, huyện Vĩnh Bảo",2015,14000,6000,"- 100%  xã Tiền Phong;
- 100% xã Vĩnh Phong; 
- 75% xã Đồng Minh (9/12 thôn: Hồng Thái, Song Hùng, Quyết Thắng, Đồng Tiến, Quyết Tiến, Cấp Lực, Hùng Chiến, Thái Hoà, Quân Thiềng); 
- 85% xã Hưng Nhân (6/7 thôn: Hoàng Kênh, Bến Vọng, An Biên, Kê Sơn 1, Kê Sơn 2, Kênh Trạch);
- 5% xã Thanh Lương (thôn Thanh Khê); Thôn An Quý xã Cộng Hiền, Thị trấn An Bài huyện Quỳnh Phụ, Thái Bình.",5629,Đang hoạt động
6,6, Thanh Lương,"Thôn An Trì, xã Thanh Lương, huyện Vĩnh Bảo",2012,3610,1200,"- 100 % xã Thanh Lương; 
- Xã Vinh Quang (02/5 thôn); 
- Xã Đồng Minh (3/12 thôn).",2290,Đang hoạt động
7,7, Trấn Dương,"Thôn Ngãi Đông, Trấn Dương, huyện Vĩnh Bảo",2013,4800,2880,"- 08 thôn: Dương Tiền, Ngải Đông, Trấn Nam, Đồng Tâm, Trấn Hải, Dương Am, Bảo Ngãi, Vĩnh Dương, xã Trấn Dương; 
- Xã Vĩnh Tiến (thôn 4,5)",1840,Đang hoạt động
8,8, Thắng Thủy,"Thôn Đông Lôi, Xã Thắng Thủy, huyện Vĩnh Bảo","2010, 2014",865,1000,Xã Thắng Thủy,1400,Đang hoạt động
9,9,Tiên Cường,"Thôn Đại Độ, xã Tiên Cường, huyện Tiên Lãng",2013,"3907,4",5000,"- 100% xã Tự Cường;
- Toàn bộ thôn Tiên Cựu, thôn Đại Công, các hộ ven đường quốc lộ 10 thuộc thôn Đại Độ và 3/4 địa giới thôn Đại Độ, 1/3 thôn Thiên Kha và khu chăn nuôi tập trung thôn Sinh Đan, 1/2 địa giới thôn An Thung và khu chợ Hòa Bình, xã Tiên Cường;
- Xã Đại Thắng (thôn Châm Kê).",3167,Đang hoạt động
10,10,Đại Thắng 2,"Thôn Lãng Liên, xã Đại Thắng, huyện Tiên Lãng",2016,11382,1500,"- 100% xã Đại Thắng
- 70% xã Tiên Cường",2710,Đang hoạt động
