_id	STT	Ma hang hoa	Ten hang hoa, dich vu	Dac diem kinh te, ky thuat, quy cach	Don vi tinh	Loai gia pho bien	Gia ky truoc	Gia ky nay	Muc tang (giam)	Ty le tang (giam) (%)	Nguon thong tin	Ghi chu
1	1	01.0001	Thóc; gạo tẻ thường 	 Khang dân hoặc tương đương 	đ/kg	Giá bán lẻ	13000	13000	0	0	Do trực tiếp điều tra; thu thập	
2	2	01.0002	Gạo tẻ ngon	Tám thơm hoặc tương đương 	đ/kg	Giá bán lẻ	20000	30000	10000	50	Do trực tiếp điều tra; thu thập	
3	3	01.0003	Thịt lợn hơi (Thịt heo hơi)	Thịt heo hơi bán theo kg 	đ/kg	Giá bán lẻ	51000	60000	9000	17	Do trực tiếp điều tra; thu thập	
4	4	01.0004	Thịt lợn nạc thăn (Thịt heo nạc thăn)	Thịt heo nạc thăn bán theo kg 	đ/kg	Giá bán lẻ	135000	140000	5000	3	Do trực tiếp điều tra; thu thập	
5	5	01.0005	Thịt bò thăn	Thịt bò thăn bán theo kg 	đ/kg	Giá bán lẻ	280000	280000	0	0	Do trực tiếp điều tra; thu thập	Loại 1 hoặc phổ biến
6	6	01.0006	Thịt bò bắp	Bắp hoa hoặc bắp lõi; loại 200 – 300 gram/ cái 	đ/kg	Giá bán lẻ	300000	300000	0	0	Do trực tiếp điều tra; thu thập	
7	7	01.0007	Gà ta	Còn sống; loại 1;5 – 2kg /1 con hoặc phổ biến 	đ/kg	Giá bán lẻ	85000	120000	35000	41	Do trực tiếp điều tra; thu thập	
8	8	01.0008	Gà công nghiệp 	Làm sẵn; nguyên con; bỏ lòng; loại 1;5 – 2kg /1 con hoặc phổ biến 	đ/kg	Giá bán lẻ	65000	75000	10000	15	Do trực tiếp điều tra; thu thập	
9	9	01.0009	Giò lụa	Loại 1 kg 	đ/kg	Giá bán lẻ	140000	180000	40000	28	Do trực tiếp điều tra; thu thập	
10	10	01.0010	Cá quả (cá lóc)	Loại  2 con/1 kg hoặc phổ biến 	đ/kg	Giá bán lẻ	110000	110000	0	0	Do trực tiếp điều tra; thu thập	
11	11	01.0011	Cá chép 	Loại  2 con/1 kg hoặc phổ biến 	đ/kg	Giá bán lẻ	70000	70000	0	0	Do trực tiếp điều tra; thu thập	
12	12	01.0012	Tôm rảo; tôm nuôi nước ngọt 	Loại 40-45 con/kg 	đ/kg	Giá bán lẻ	270000	300000	30000	11		
13	13	01.0013	Bắp cải trắng 	Loại to vừa khoảng 0;5-1kg/bắp 	đ/kg	Giá bán lẻ	9000	12000	3000	33	Do trực tiếp điều tra; thu thập	
14	14	01.0014	Cải xanh	Cải ngọt hoặc cải cay theo mùa 	đ/kg	Giá bán lẻ	7000	15000	8000	114	Do trực tiếp điều tra; thu thập	
15	15	01.0015	Bí xanh	Quả từ 1-2 kg hoặc phổ biến 	đ/kg	Giá bán lẻ	20000	25000	5000	25	Do trực tiếp điều tra; thu thập	
16	16	01.0016	Cà chua 	Quả to vừa; 8-10 quả/kg 	đ/kg	Giá bán lẻ	15000	25000	10000	66	Do trực tiếp điều tra; thu thập	
17	17	01.0017	Muối hạt	Gói 01 kg 	đ/kg		5000	5000	0	0		
