_id	STT	Cap hoc	Khoi	So luong	Gioi tinh (nu)
1	1	Mầm non	3-12 tháng	22	7
2	2	Mầm non	13-24 tháng	2,870	1,327
3	3	Mầm non	25-36 tháng	16,679	7,697
4	4	Mầm non	3-4 tuổi	29,657	13,958
5	5	Mầm non	4-5 tuổi	32,966	15,791
6	6	Mầm non	5-6 tuổi	33,357	16,008
7	7	Tiểu học	Lớp 1	35,259	16,810
8	8	Tiểu học	Lớp 2	32,374	15,453
9	9	Tiểu học	Lớp 3	37,486	17,733
10	10	Tiểu học	Lớp 4	38,319	18,145
11	11	Tiểu học	Lớp 5	38,549	18,431
12	12	Trung học cơ sở	Lớp 6	46,960	22,391
13	13	Trung học cơ sở	Lớp 7	37,812	18,332
14	14	Trung học cơ sở	Lớp 8	33,392	16,078
15	15	Trung học cơ sở	Lớp 9	33,957	16,364
16	16	Trung học phổ thông	Lớp 10	27,797	14,252
17	17	Trung học phổ thông	Lớp 11	26,589	13,652
18	18	Trung học phổ thông	Lớp 12	22,679	11,842
19	19	Giáo dục thường xuyên	Lớp 9	51	14
20	20	Giáo dục thường xuyên	Lớp 10	3456	1019
21	21	Giáo dục thường xuyên	Lớp 11	3079	896
22	22	Giáo dục thường xuyên	Lớp 12	2708	799
